order_id,order_date,customer_id,product_id,store_id,quantity,unit_price
O100000,21-01-2023,C0486,P005,S001,4,150
O100001,06-05-2023,C0057,P007,S004,3,30
O100002,06-06-2023,C0078,P004,S002,3,400
O100003,27-12-2023,C0495,P002,S005,3,800
O100004,09-01-2023,C0331,P003,S002,3,250
O100005,06-06-2023,C0038,P006,S005,2,120
O100006,20-04-2023,C0308,P006,S003,2,120
O100007,25-01-2023,C0239,P006,S002,5,120
O100008,12-10-2023,C0469,P001,S005,5,1200
O100009,01-03-2023,C0188,P002,S002,3,800
O100010,30-10-2023,C0174,P006,S001,5,120
O100011,21-09-2023,C0165,P003,S001,4,250
O100012,16-11-2023,C0204,P001,S005,2,1200
O100013,03-01-2023,C0104,P007,S001,2,30
O100014,28-06-2023,C0181,P001,S004,2,1200
O100015,30-03-2023,C0424,P005,S005,2,150
O100016,15-06-2023,C0196,P002,S001,3,800
O100017,06-09-2023,C0390,P005,S003,3,150
O100018,15-12-2023,C0241,P006,S002,6,120
O100019,17-08-2023,C0245,P005,S002,4,150
O100020,03-12-2023,C0210,P006,S002,3,120
O100021,16-06-2023,C0027,P005,S003,2,150
O100022,12-05-2023,C0435,P005,S005,5,150
O100023,23-03-2023,C0041,P006,S005,1,120
O100024,29-10-2023,C0233,P005,S002,1,150
O100025,18-07-2023,C0280,P001,S003,5,1200
O100026,17-08-2023,C0054,P002,S001,4,800
O100027,28-01-2023,C0083,P008,S005,2,60
O100028,15-04-2023,C0366,P007,S003,5,30
O100029,07-01-2023,C0099,P003,S004,4,250
O100030,18-10-2023,C0068,P006,S003,1,120
O100031,13-11-2023,C0491,P004,S001,5,400
O100032,16-01-2023,C0113,P005,S002,2,150
O100033,05-03-2023,C0148,P003,S005,4,250
O100034,24-05-2023,C0143,P002,S002,5,800
O100035,26-11-2023,C0425,P002,S005,7,800
O100036,30-04-2023,C0333,P004,S001,1,400
O100037,31-03-2023,C0357,P007,S003,4,30
O100038,08-07-2023,C0247,P001,S001,3,1200
O100039,15-03-2023,C0250,P003,S005,1,250
O100040,26-12-2023,C0277,P005,S001,2,150
O100041,06-03-2023,C0157,P001,S003,5,1200
O100042,05-06-2023,C0084,P003,S002,2,250
O100043,18-02-2023,C0318,P008,S002,4,60
O100044,24-06-2023,C0454,P008,S003,2,60
O100045,29-09-2023,C0202,P001,S001,4,1200
O100046,04-04-2023,C0306,P001,S001,2,1200
O100047,30-12-2023,C0113,P007,S004,7,30
O100048,25-04-2023,C0264,P008,S002,2,60
O100049,18-05-2023,C0404,P002,S001,1,800
O100050,03-07-2023,C0080,P005,S002,5,150
O100051,04-04-2023,C0153,P007,S003,2,30
O100052,26-04-2023,C0463,P003,S001,2,250
O100053,21-07-2023,C0040,P008,S001,1,60
O100054,12-02-2023,C0073,P008,S003,4,60
O100055,14-10-2023,C0472,P006,S002,5,120
O100056,09-01-2023,C0136,P006,S001,4,120
O100057,08-04-2023,C0342,P005,S001,3,150
O100058,21-08-2023,C0031,P008,S001,3,60
O100059,24-06-2023,C0470,P006,S002,2,120
O100060,18-11-2023,C0425,P003,S002,2,250
O100061,05-10-2023,C0121,P005,S003,5,150
O100062,05-11-2023,C0432,P002,S005,3,800
O100063,15-11-2023,C0201,P002,S005,4,800
O100064,03-09-2023,C0163,P008,S002,1,60
O100065,07-07-2023,C0376,P001,S001,1,1200
O100066,15-10-2023,C0312,P006,S002,3,120
O100067,04-05-2023,C0368,P004,S005,4,400
O100068,07-10-2023,C0042,P003,S003,4,250
O100069,05-12-2023,C0358,P004,S004,5,400
O100070,22-04-2023,C0189,P005,S001,2,150
O100071,17-03-2023,C0283,P003,S003,4,250
O100072,03-04-2023,C0229,P007,S003,4,30
O100073,15-02-2023,C0095,P001,S003,4,1200
O100074,08-11-2023,C0066,P006,S005,3,120
O100075,08-05-2023,C0494,P008,S003,4,60
O100076,12-06-2023,C0233,P006,S005,3,120
O100077,28-04-2023,C0460,P005,S001,1,150
O100078,13-04-2023,C0149,P002,S003,4,800
O100079,01-02-2023,C0412,P008,S002,2,60
O100080,08-01-2023,C0066,P001,S002,2,1200
O100081,27-08-2023,C0318,P005,S002,4,150
O100082,06-11-2023,C0232,P008,S002,4,60
O100083,14-02-2023,C0403,P008,S005,3,60
O100084,26-09-2023,C0223,P004,S004,3,400
O100085,05-08-2023,C0023,P003,S005,1,250
O100086,11-11-2023,C0207,P006,S001,5,120
O100087,25-08-2023,C0327,P001,S005,3,1200
O100088,19-02-2023,C0236,P006,S002,3,120
O100089,28-09-2023,C0208,P005,S003,1,150
O100090,02-06-2023,C0268,P006,S003,1,120
O100091,08-01-2023,C0233,P004,S005,2,400
O100092,03-03-2023,C0340,P005,S002,1,150
O100093,16-01-2023,C0478,P001,S003,1,1200
O100094,05-08-2023,C0499,P003,S003,2,250
O100095,10-09-2023,C0398,P002,S001,1,800
O100096,08-04-2023,C0486,P003,S003,1,250
O100097,09-05-2023,C0375,P003,S004,4,250
O100098,08-08-2023,C0071,P005,S001,2,150
O100099,03-02-2023,C0239,P002,S002,1,800
O100100,12-03-2023,C0114,P003,S005,2,250
O100101,21-10-2023,C0415,P008,S003,5,60
O100102,10-09-2023,C0039,P002,S005,4,800
O100103,08-11-2023,C0175,P004,S005,7,400
O100104,29-03-2023,C0470,P005,S004,4,150
O100105,17-07-2023,C0295,P006,S001,4,120
O100106,08-08-2023,C0479,P006,S005,4,120
O100107,10-12-2023,C0233,P007,S004,4,30
O100108,15-07-2023,C0028,P001,S003,2,1200
O100109,06-05-2023,C0411,P003,S003,2,250
O100110,28-08-2023,C0139,P005,S005,2,150
O100111,23-06-2023,C0197,P006,S005,2,120
O100112,20-12-2023,C0117,P001,S003,4,1200
O100113,21-06-2023,C0269,P006,S004,5,120
O100114,13-12-2023,C0279,P008,S004,5,60
O100115,16-12-2023,C0121,P006,S001,4,120
O100116,15-07-2023,C0353,P001,S005,4,1200
O100117,15-07-2023,C0374,P002,S004,3,800
O100118,17-03-2023,C0220,P005,S003,5,150
O100119,07-11-2023,C0436,P002,S001,5,800
O100120,19-03-2023,C0046,P007,S003,2,30
O100121,26-11-2023,C0225,P007,S002,5,30
O100122,13-05-2023,C0160,P007,S003,4,30
O100123,29-03-2023,C0058,P002,S005,5,800
O100124,05-11-2023,C0075,P002,S002,3,800
O100125,22-12-2023,C0302,P003,S004,4,250
O100126,29-01-2023,C0257,P004,S004,1,400
O100127,09-09-2023,C0278,P004,S002,1,400
O100128,12-08-2023,C0238,P007,S005,2,30
O100129,11-03-2023,C0388,P002,S005,1,800
O100130,18-07-2023,C0453,P002,S003,1,800
O100131,09-02-2023,C0296,P003,S001,2,250
O100132,19-12-2023,C0495,P008,S003,4,60
O100133,27-07-2023,C0380,P007,S004,1,30
O100134,18-03-2023,C0277,P003,S003,2,250
O100135,23-10-2023,C0493,P004,S002,3,400
O100136,17-07-2023,C0049,P006,S003,3,120
O100137,16-11-2023,C0495,P008,S001,6,60
O100138,25-02-2023,C0375,P003,S001,3,250
O100139,02-06-2023,C0126,P008,S004,3,60
O100140,12-06-2023,C0411,P005,S004,2,150
O100141,16-08-2023,C0127,P001,S005,5,1200
